('Total Revenue', '198,270,000', '198,270,000', '168,088,000', '143,015,000', '125,843,000')
         451930 function calls (436616 primitive calls) in 10.159 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      244    0.000    0.000    0.000    0.000 os.py:752(decode)
       36    0.000    0.000    0.000    0.000 element.py:2278(__init__)
      350    0.000    0.000    0.000    0.000 {method 'find' of 'str' objects}
      176    0.000    0.000    0.000    0.000 enum.py:753(value)
      311    0.000    0.000    0.000    0.000 css_parser.py:314(get_name)
      160    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
        1    0.000    0.000    0.001    0.001 request.py:2494(getproxies_environment)
        7    0.000    0.000    0.000    0.000 typing.py:1060(__init_subclass__)
       16    0.000    0.000    0.000    0.000 enum.py:143(__prepare__)
       14    0.000    0.000    0.000    0.000 {method 'sort' of 'list' objects}
      137    0.000    0.000    0.000    0.000 typing.py:329(__hash__)
        1    0.000    0.000    0.000    0.000 socket.py:732(close)
       17    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:406(spec_from_loader)
       73    0.000    0.000    0.000    0.000 element.py:388(_last_descendant)
      115    0.000    0.000    0.000    0.000 {built-in method _imp.is_frozen}
        1    0.000    0.000    0.001    0.001 hashlib.py:5(<module>)
        1    0.000    0.000    0.003    0.003 sbcsgroupprober.py:29(<module>)
        1    0.000    0.000    0.051    0.051 css_parser.py:431(CSSParser)
        1    0.000    0.000    0.001    0.001 parse.py:1(<module>)
        1    0.000    0.000    0.006    0.006 mbcsgroupprober.py:30(<module>)
      190    0.000    0.000    0.000    0.000 dammit.py:134(<genexpr>)
    14/10    0.000    0.000    0.119    0.012 {built-in method builtins.__import__}
        9    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1459(__init__)
       14    0.000    0.000    0.000    0.000 typing.py:900(__init_subclass__)
      155    0.000    0.000    0.000    0.000 {method 'insert' of 'list' objects}
       15    0.000    0.000    0.049    0.003 css_parser.py:308(__init__)
       16    0.000    0.000    0.000    0.000 enum.py:175(<dictcomp>)
       11    0.000    0.000    0.000    0.000 functools.py:34(update_wrapper)
        1    0.000    0.000    0.001    0.001 css_match.py:481(CSSMatch)
       12    0.000    0.000    0.000    0.000 sre_compile.py:416(_bytes_to_codes)
        1    0.000    0.000    0.027    0.027 client.py:1(<module>)
       25    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
       46    0.000    0.000    0.001    0.000 typing.py:802(__getitem__)
        1    0.000    0.000    0.000    0.000 random.py:1(<module>)
        9    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1317(_path_hooks)
       26    0.000    0.000    0.001    0.000 abc.py:84(__new__)
        1    0.000    0.000    0.000    0.000 quoprimime.py:5(<module>)
        9    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1549(_fill_cache)
       59    0.000    0.000    0.000    0.000 __init__.py:21(__new__)
        2    0.000    0.000    0.000    0.000 feedparser.py:218(_parsegen)
      173    0.000    0.000    0.000    0.000 {built-in method builtins.issubclass}
      247    0.000    0.000    0.000    0.000 {method 'decode' of 'bytes' objects}
      124    0.000    0.000    0.000    0.000 os.py:693(__iter__)
        1    0.000    0.000    0.000    0.000 threading.py:1(<module>)
        7    0.000    0.000    0.000    0.000 message.py:462(get)
        9    0.000    0.000    0.000    0.000 <frozen zipimport>:63(__init__)
        1    0.000    0.000    0.000    0.000 feedparser.py:471(_parse_headers)
      223    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:68(_relax_case)
        1    0.000    0.000    0.002    0.002 chardistribution.py:28(<module>)
