('Total Revenue', '198,270,000', '198,270,000', '168,088,000', '143,015,000', '125,843,000')
         529436 function calls (509921 primitive calls) in 1.704 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      300    0.000    0.000    0.000    0.000 enum.py:33(_is_sunder)
      189    0.000    0.000    0.000    0.000 sre_parse.py:76(__init__)
    35/21    0.000    0.000    0.001    0.000 typing.py:347(__getitem__)
    68/48    0.000    0.000    0.161    0.003 <frozen importlib._bootstrap>:1017(_handle_fromlist)
      156    0.000    0.000    0.000    0.000 {method '_checkClosed' of '_io._IOBase' objects}
      922    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_tolower}
        1    0.000    0.000    0.002    0.002 tokenize.py:1(<module>)
        1    0.000    0.000    0.000    0.000 mimetypes.py:1(<module>)
      255    0.000    0.000    0.000    0.000 enum.py:12(_is_descriptor)
      515    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
       36    0.000    0.000    0.000    0.000 element.py:2011(__init__)
    42/30    0.000    0.000    0.016    0.001 css_parser.py:581(parse_pseudo_class)
       42    0.000    0.000    0.000    0.000 enum.py:543(_find_data_type)
       87    0.000    0.000    0.000    0.000 __init__.py:91(_replace_charref)
       10    0.000    0.000    0.004    0.000 enum.py:430(_create_)
       10    0.000    0.000    0.001    0.000 enum.py:978(_decompose)
        1    0.000    0.000    0.005    0.005 socket.py:4(<module>)
       83    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
      441    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
       88    0.000    0.000    0.000    0.000 six.py:141(__init__)
        1    0.000    0.000    0.107    0.107 css_parser.py:1(<module>)
      370    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
        1    0.000    0.000    0.057    0.057 ssl.py:983(_create)
    41/20    0.000    0.000    0.222    0.011 {built-in method builtins.__import__}
       77    0.000    0.000    0.001    0.000 css_types.py:267(__init__)
        1    0.000    0.000    0.000    0.000 bz2.py:30(BZ2File)
      222    0.000    0.000    0.000    0.000 sre_compile.py:65(_combine_flags)
       20    0.000    0.000    0.011    0.001 response.py:379(_decode)
        8    0.000    0.000    0.000    0.000 message.py:462(get)
      534    0.000    0.000    0.000    0.000 {built-in method from_bytes}
      157    0.000    0.000    0.000    0.000 socket.py:694(readable)
      328    0.000    0.000    0.000    0.000 sre_compile.py:453(_get_iscased)
      169    0.000    0.000    0.007    0.000 sre_parse.py:96(closegroup)
      198    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:800(find_spec)
        1    0.000    0.000    0.001    0.001 charsetgroupprober.py:28(<module>)
  136/131    0.000    0.000    0.001    0.000 css_parser.py:387(_freeze_relations)
       95    0.000    0.000    0.000    0.000 {method 'format' of 'str' objects}
      376    0.000    0.000    0.000    0.000 socket.py:76(<lambda>)
      256    0.000    0.000    0.000    0.000 os.py:748(encode)
       20    0.000    0.000    0.565    0.028 response.py:691(_handle_chunk)
      379    0.000    0.000    0.000    0.000 socket.py:91(<lambda>)
      377    0.000    0.000    0.000    0.000 socket.py:81(<lambda>)
      492    0.000    0.000    0.000    0.000 os.py:752(decode)
       22    0.000    0.000    0.000    0.000 util.py:15(lower)
      378    0.000    0.000    0.000    0.000 socket.py:86(<lambda>)
      215    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:725(find_spec)
       76    0.000    0.000    0.000    0.000 element.py:1363(_all_strings)
        1    0.000    0.000    0.002    0.002 typing.py:1(<module>)
        2    0.000    0.000    0.001    0.000 request.py:2494(getproxies_environment)
       10    0.000    0.000    0.000    0.000 enum.py:997(<listcomp>)
      546    0.000    0.000    0.000    0.000 {built-in method posix.fspath}
      202    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:175(_path_isabs)
        1    0.000    0.000    0.153    0.153 connection.py:312(connect)
    38/29    0.000    0.000    0.016    0.001 css_parser.py:741(parse_pseudo_open)
        1    0.000    0.000    0.000    0.000 feedparser.py:471(_parse_headers)
      178    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1004(__init__)
        1    0.000    0.000    0.000    0.000 {function Random.seed at 0x7f1bfba6cdc0}
       12    0.000    0.000    0.000    0.000 datetime.py:488(__new__)
       52    0.000    0.000    0.000    0.000 sre_compile.py:432(_generate_overlap_table)
      198    0.000    0.000    0.000    0.000 {built-in method _imp.is_frozen}
       17    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1549(_fill_cache)
       24    0.000    0.000    0.565    0.024 client.py:606(_safe_read)
       69    0.000    0.000    0.001    0.000 css_types.py:251(__init__)
       25    0.000    0.000    0.001    0.000 typing.py:677(__getitem__)
      564    0.000    0.000    0.000    0.000 {method 'decode' of 'bytes' objects}
        1    0.000    0.000    0.007    0.007 ssl.py:4(<module>)
        1    0.000    0.000    0.000    0.000 status_codes.py:104(_init)
        1    0.000    0.000    0.000    0.000 ssl.py:1298(_real_close)
      315    0.000    0.000    0.000    0.000 ssl.py:1078(_checkClosed)
      178    0.000    0.000    0.000    0.000 {built-in method _imp._fix_co_filename}
        2    0.000    0.000    0.001    0.000 feedparser.py:218(_parsegen)
       25    0.000    0.000    0.001    0.000 typing.py:187(_subs_tvars)
        3    0.000    0.000    0.005    0.002 request.py:1(<module>)
       17    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1459(__init__)
      247    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 ssl.py:971(SSLSocket)
        1    0.000    0.000    0.006    0.006 __init__.py:17(<module>)
      248    0.000    0.000    0.000    0.000 os.py:693(__iter__)
      368    0.000    0.000    0.000    0.000 {method 'get' of 'mappingproxy' objects}
       17    0.000    0.000    0.000    0.000 <frozen zipimport>:63(__init__)
       10    0.000    0.000    0.001    0.000 enum.py:899(_create_pseudo_member_)
        1    0.000    0.000    0.077    0.077 connectionpool.py:1(<module>)
       24    0.000    0.000    0.001    0.000 typing.py:818(__getitem_inner__)
       10    0.000    0.000    0.006    0.001 enum.py:483(_convert_)
  319/318    0.000    0.000    0.000    0.000 {method 'encode' of 'str' objects}
        1    0.000    0.000    0.006    0.006 ssl_.py:220(create_urllib3_context)
      462    0.000    0.000    0.000    0.000 css_types.py:72(__hash__)
       52    0.000    0.000    0.004    0.000 css_parser.py:1113(<listcomp>)
      400    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:68(_relax_case)
       21    0.000    0.000    0.000    0.000 typing.py:219(_remove_dups_flatten)
        1    0.000    0.000    0.032    0.032 utils.py:3(<module>)
       11    0.000    0.000    0.000    0.000 parse.py:420(urlsplit)
       39    0.000    0.000    0.001    0.000 abc.py:84(__new__)
      101    0.000    0.000    0.000    0.000 {method 'translate' of 'str' objects}
       21    0.000    0.000    0.000    0.000 {method 'sort' of 'list' objects}
